name of the body ; position x ; position y ; position z
sun;0.000298078;-0.00289813;-0.00289813
jupiter;4.75359;1.3556;1.3556
saturn;7.29888;5.64143;5.64143
uranus;13.8212;-14.3174;-14.3174
neptune;16.2324;-25.3814;-25.3814
sun;0.000308719;-0.00293002;-0.00293002
jupiter;4.74552;1.38342;1.38342
saturn;7.28531;5.65752;5.65752
uranus;13.8314;-14.308;-14.308
neptune;16.242;-25.3751;-25.3751
sun;0.000319518;-0.00296186;-0.00296186
jupiter;4.7373;1.41119;1.41119
saturn;7.27171;5.67358;5.67358
uranus;13.8417;-14.2987;-14.2987
neptune;16.2516;-25.3689;-25.3689
sun;0.000330475;-0.00299365;-0.00299365
jupiter;4.72892;1.43892;1.43892
saturn;7.25807;5.68961;5.68961
uranus;13.8519;-14.2893;-14.2893
neptune;16.2612;-25.3626;-25.3626
sun;0.000341591;-0.00302538;-0.00302538
jupiter;4.72039;1.46659;1.46659
saturn;7.24439;5.70561;5.70561
uranus;13.8621;-14.28;-14.28
neptune;16.2708;-25.3563;-25.3563
sun;0.000352865;-0.00305707;-0.00305707
jupiter;4.71171;1.49423;1.49423
saturn;7.23068;5.72158;5.72158
uranus;13.8723;-14.2706;-14.2706
neptune;16.2804;-25.35;-25.35
sun;0.000364297;-0.00308869;-0.00308869
jupiter;4.70287;1.52181;1.52181
saturn;7.21693;5.73753;5.73753
uranus;13.8825;-14.2612;-14.2612
neptune;16.2899;-25.3437;-25.3437
sun;0.000375886;-0.00312027;-0.00312027
jupiter;4.69388;1.54934;1.54934
saturn;7.20314;5.75344;5.75344
uranus;13.8927;-14.2518;-14.2518
neptune;16.2995;-25.3374;-25.3374
sun;0.000387632;-0.00315178;-0.00315178
jupiter;4.68473;1.57682;1.57682
saturn;7.18932;5.76933;5.76933
uranus;13.9029;-14.2424;-14.2424
neptune;16.3091;-25.3311;-25.3311
sun;0.000399534;-0.00318324;-0.00318324
jupiter;4.67544;1.60425;1.60425
saturn;7.17546;5.78519;5.78519
uranus;13.913;-14.233;-14.233
neptune;16.3186;-25.3248;-25.3248
sun;0.000411594;-0.00321464;-0.00321464
jupiter;4.66598;1.63163;1.63163
saturn;7.16156;5.80102;5.80102
uranus;13.9232;-14.2236;-14.2236
neptune;16.3282;-25.3185;-25.3185
sun;0.000423809;-0.00324598;-0.00324598
jupiter;4.65638;1.65895;1.65895
saturn;7.14763;5.81681;5.81681
uranus;13.9334;-14.2142;-14.2142
neptune;16.3378;-25.3122;-25.3122
sun;0.00043618;-0.00327727;-0.00327727
jupiter;4.64663;1.68622;1.68622
saturn;7.13366;5.83258;5.83258
uranus;13.9435;-14.2048;-14.2048
neptune;16.3473;-25.3058;-25.3058
sun;0.000448707;-0.00330849;-0.00330849
jupiter;4.63672;1.71344;1.71344
saturn;7.11966;5.84832;5.84832
uranus;13.9537;-14.1953;-14.1953
neptune;16.3569;-25.2995;-25.2995
sun;0.000461389;-0.00333965;-0.00333965
jupiter;4.62666;1.7406;1.7406
saturn;7.10562;5.86403;5.86403
uranus;13.9638;-14.1859;-14.1859
neptune;16.3665;-25.2932;-25.2932
sun;0.000474226;-0.00337075;-0.00337075
jupiter;4.61645;1.7677;1.7677
saturn;7.09155;5.87971;5.87971
uranus;13.9739;-14.1765;-14.1765
neptune;16.376;-25.2869;-25.2869
sun;0.000487217;-0.00340178;-0.00340178
jupiter;4.60609;1.79475;1.79475
saturn;7.07744;5.89536;5.89536
uranus;13.9841;-14.167;-14.167
neptune;16.3856;-25.2805;-25.2805
sun;0.000500363;-0.00343275;-0.00343275
jupiter;4.59558;1.82173;1.82173
saturn;7.06329;5.91099;5.91099
uranus;13.9942;-14.1575;-14.1575
neptune;16.3951;-25.2742;-25.2742
sun;0.000513662;-0.00346366;-0.00346366
jupiter;4.58492;1.84866;1.84866
saturn;7.04911;5.92658;5.92658
uranus;14.0043;-14.1481;-14.1481
neptune;16.4047;-25.2679;-25.2679
sun;0.000527114;-0.0034945;-0.0034945
jupiter;4.57411;1.87552;1.87552
saturn;7.03489;5.94214;5.94214
uranus;14.0144;-14.1386;-14.1386
neptune;16.4142;-25.2615;-25.2615
sun;0.00054072;-0.00352527;-0.00352527
jupiter;4.56315;1.90233;1.90233
saturn;7.02064;5.95767;5.95767
uranus;14.0245;-14.1291;-14.1291
neptune;16.4237;-25.2552;-25.2552
sun;0.000554479;-0.00355598;-0.00355598
jupiter;4.55205;1.92907;1.92907
saturn;7.00635;5.97317;5.97317
uranus;14.0346;-14.1196;-14.1196
neptune;16.4333;-25.2488;-25.2488
sun;0.000568389;-0.00358662;-0.00358662
